Date,Gender, Annual Income ,Dealer_Name,Company,Model,Engine,Transmission,Color, Price ($) ,Body Style,Dealer_Region,State
1/2/2022,Male,801250.00,Tri-State Mack Inc,Dodge,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,31250.00,SUV,Scottsdale,Arizona
1/2/2022,Female,820000.00,U-Haul CO,Buick,Regal,DoubleÂ Overhead Camshaft,Auto,Black,19000.00,Passenger,Austin,Texas
1/2/2022,Male,791000.00,Progressive Shippers Cooperative Association No,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000.00,Hatchback,Janesville,Wisconsin
1/2/2022,Male,13500.00,Race Car Help,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,41000.00,Hatchback,Janesville,Wisconsin
1/2/2022,Male,1020000.00,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,13000.00,Hatchback,Scottsdale,Arizona
1/2/2022,Male,210000.00,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,20000.00,Sedan,Austin,Texas
1/2/2022,Male,750000.00,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,14000.00,Hatchback,Middletown,New York 
1/2/2022,Male,635000.00,Star Enterprises Inc,Honda,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,19000.00,Sedan,Aurora,Colorado
1/2/2022,Male,675000.00,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,43000.00,Hatchback,Greenville,South Carolina
1/2/2022,Male,880000.00,U-Haul CO,Jaguar,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,16000.00,Passenger,Pasco,Washington
1/3/2022,Male,13500.00,Diehl Motor CO Inc,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000.00,Sedan,Middletown,New York 
1/3/2022,Male,13500.00,Enterprise Rent A Car,Mercury,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,21000.00,SUV,Aurora,Colorado
1/3/2022,Male,13500.00,Gartner Buick Hyundai Saab,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000.00,Hatchback,Greenville,South Carolina
1/3/2022,Male,941000.00,Hatfield Volkswagen,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,39000.00,SUV,Pasco,Washington
1/3/2022,Female,13500.00,Star Enterprises Inc,Nissan,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,16000.00,Passenger,Pasco,Washington
1/3/2022,Male,13500.00,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000.00,Sedan,Janesville,Wisconsin
1/3/2022,Female,13500.00,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,21000.00,Sedan,Scottsdale,Arizona
1/3/2022,Male,967500.00,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,42500.00,Passenger,Austin,Texas
1/3/2022,Male,600000.00,Diehl Motor CO Inc,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45001.00,Hatchback,Middletown,New York 
1/3/2022,Male,575000.00,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,36001.00,Hatchback,Aurora,Colorado
1/3/2022,Male,566000.00,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000.00,Hatchback,Greenville,South Carolina
1/3/2022,Male,1250000.00,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,Pale White,21001.00,Hatchback,Pasco,Washington
1/3/2022,Male,730000.00,Rabun Used Car Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Pale White,29000.00,Hatchback,Scottsdale,Arizona
1/3/2022,Male,4060000.00,Race Car Help,Nissan,Altima,DoubleÂ Overhead Camshaft,Auto,Pale White,20000.00,Hatchback,Austin,Texas
1/3/2022,Male,13500.00,Ryder Truck Rental and Leasing,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22000.00,SUV,Middletown,New York 
1/3/2022,Male,1180000.00,Saab-Belle Dodge,Dodge,Stratus,DoubleÂ Overhead Camshaft,Auto,Pale White,31000.00,Hatchback,Aurora,Colorado
1/3/2022,Male,1360000.00,Progressive Shippers Cooperative Association No,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000.00,Hardtop,Austin,Texas
1/3/2022,Female,640000.00,C & M Motors Inc,Mercury,Cougar,DoubleÂ Overhead Camshaft,Auto,Black,33000.00,Hatchback,Scottsdale,Arizona
1/3/2022,Male,615000.00,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,14000.00,Hardtop,Middletown,New York 
1/3/2022,Male,520000.00,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,17000.00,SUV,Middletown,New York 
1/4/2022,Male,1876000.00,Iceberg Rentals,Saturn,SW,DoubleÂ Overhead Camshaft,Auto,Pale White,25600.00,Passenger,Janesville,Wisconsin
1/4/2022,Male,13500.00,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,17000.00,Hatchback,Scottsdale,Arizona
1/4/2022,Male,13500.00,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,21000.00,SUV,Austin,Texas
1/4/2022,Male,890000.00,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,12000.00,Hatchback,Middletown,New York 
1/4/2022,Male,1800000.00,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,17000.00,Passenger,Aurora,Colorado
1/4/2022,Male,1330000.00,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,36000.00,Hardtop,Janesville,Wisconsin
1/4/2022,Male,393000.00,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,17000.00,Hatchback,Janesville,Wisconsin
1/4/2022,Male,440000.00,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000.00,Hatchback,Austin,Texas
1/4/2022,Female,280000.00,Nebo Chevrolet,Audi,A6,DoubleÂ Overhead Camshaft,Auto,Black,14000.00,SUV,Middletown,New York 
1/4/2022,Male,1151000.00,Scrivener Performance Engineering,Dodge,Intrepid,DoubleÂ Overhead Camshaft,Auto,Pale White,31100.00,Sedan,Greenville,South Carolina
1/4/2022,Male,1650000.00,Star Enterprises Inc,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,61000.00,Hatchback,Pasco,Washington
1/4/2022,Male,13500.00,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,26000.00,SUV,Janesville,Wisconsin
1/4/2022,Male,895000.00,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,12000.00,Passenger,Aurora,Colorado
1/4/2022,Female,660000.00,Classic Chevy,Volvo,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,42000.00,Sedan,Greenville,South Carolina
1/4/2022,Male,13500.00,Clay Johnson Auto Sales,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Pale White,21000.00,Hatchback,Pasco,Washington
1/5/2022,Male,1636000.00,Nebo Chevrolet,Cadillac,DeVille,DoubleÂ Overhead Camshaft,Auto,Pale White,22600.00,SUV,Middletown,New York 
1/5/2022,Female,1000000.00,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,45000.00,Passenger,Aurora,Colorado
1/5/2022,Female,745000.00,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,25000.00,SUV,Greenville,South Carolina
1/5/2022,Male,300000.00,Pitre Buick-Pontiac-Gmc of Scottsdale,Ford,Contour,DoubleÂ Overhead Camshaft,Auto,Pale White,62000.00,Sedan,Pasco,Washington
1/5/2022,Male,1097000.00,Progressive Shippers Cooperative Association No,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Black,22700.00,Passenger,Janesville,Wisconsin
1/5/2022,Female,542000.00,Rabun Used Car Sales,Mitsubishi,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Black,45000.00,SUV,Scottsdale,Arizona
1/5/2022,Male,1200000.00,Chrysler of Tri-Cities,Lincoln,Town car,Overhead Camshaft,Manual,Black,17000.00,Hatchback,Pasco,Washington
1/5/2022,Male,490000.00,Motor Vehicle Branch Office,Ford,Focus,Overhead Camshaft,Manual,Black,49000.00,Hardtop,Austin,Texas
1/5/2022,Male,410000.00,Classic Chevy,Audi,A6,Overhead Camshaft,Manual,Black,15000.00,SUV,Scottsdale,Arizona
1/5/2022,Male,930000.00,Clay Johnson Auto Sales,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28000.00,Hatchback,Austin,Texas
1/5/2022,Male,480000.00,Tri-State Mack Inc,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,46000.00,Hardtop,Greenville,South Carolina
1/5/2022,Female,1360000.00,Enterprise Rent A Car,Ford,Mustang,Overhead Camshaft,Manual,Pale White,43000.00,Hatchback,Aurora,Colorado
1/5/2022,Male,2200000.00,New Castle Ford Lincoln Mercury,Oldsmobile,Cutlass,DoubleÂ Overhead Camshaft,Auto,Pale White,41000.00,Sedan,Aurora,Colorado
1/5/2022,Female,1100000.00,Pars Auto Sales,Chevrolet,Corvette,DoubleÂ Overhead Camshaft,Auto,Pale White,45000.00,SUV,Greenville,South Carolina
1/5/2022,Male,13500.00,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Impala,Overhead Camshaft,Manual,Pale White,22001.00,Hatchback,Pasco,Washington
1/5/2022,Male,1700000.00,Progressive Shippers Cooperative Association No,Volkswagen,Cabrio,Overhead Camshaft,Manual,Pale White,25001.00,Sedan,Janesville,Wisconsin
1/5/2022,Male,1908000.00,Rabun Used Car Sales,Dodge,Dakota,Overhead Camshaft,Manual,Pale White,12800.00,Sedan,Scottsdale,Arizona
1/5/2022,Male,13500.00,Race Car Help,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Black,26000.00,SUV,Austin,Texas
1/5/2022,Male,13500.00,Tri-State Mack Inc,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,18000.00,Sedan,Scottsdale,Arizona
1/5/2022,Male,2550000.00,U-Haul CO,Oldsmobile,Bravada,DoubleÂ Overhead Camshaft,Auto,Pale White,19000.00,Hatchback,Austin,Texas
1/5/2022,Male,1245000.00,Buddy Storbeck's Diesel Service Inc,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22500.00,Sedan,Middletown,New York 
1/5/2022,Male,13500.00,Race Car Help,Dodge,Ram Pickup,Overhead Camshaft,Manual,Pale White,21001.00,Hardtop,Austin,Texas
1/5/2022,Male,1115000.00,Saab-Belle Dodge,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,46500.00,Hardtop,Aurora,Colorado
1/5/2022,Male,13500.00,Chrysler of Tri-Cities,Chrysler,300M,DoubleÂ Overhead Camshaft,Auto,Pale White,16000.00,SUV,Pasco,Washington
1/5/2022,Male,2110000.00,Diehl Motor CO Inc,Volvo,V70,DoubleÂ Overhead Camshaft,Auto,Black,39000.00,Passenger,Janesville,Wisconsin
1/5/2022,Female,13500.00,Enterprise Rent A Car,Nissan,Quest,Overhead Camshaft,Manual,Black,19000.00,SUV,Scottsdale,Arizona
1/5/2022,Male,1050000.00,Gartner Buick Hyundai Saab,Chrysler,LHS,DoubleÂ Overhead Camshaft,Auto,Black,26000.00,Hatchback,Austin,Texas
1/5/2022,Male,13500.00,Hatfield Volkswagen,Honda,Accord,Overhead Camshaft,Manual,Black,43000.00,Sedan,Janesville,Wisconsin
1/5/2022,Female,13500.00,Iceberg Rentals,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,54000.00,Sedan,Scottsdale,Arizona
1/5/2022,Male,320000.00,McKinney Dodge Chrysler Jeep,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Pale White,22000.00,SUV,Austin,Texas
1/6/2022,Male,13500.00,Race Car Help,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Black,16001.00,SUV,Austin,Texas
1/6/2022,Female,760000.00,Ryder Truck Rental and Leasing,BMW,328i,DoubleÂ Overhead Camshaft,Auto,Black,16001.00,Sedan,Middletown,New York 
1/6/2022,Male,1390000.00,Gartner Buick Hyundai Saab,Toyota,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,12000.00,SUV,Greenville,South Carolina
1/6/2022,Male,659000.00,Buddy Storbeck's Diesel Service Inc,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Black,38000.00,Hardtop,Janesville,Wisconsin
1/6/2022,Male,1330000.00,Ryder Truck Rental and Leasing,Ford,Explorer,DoubleÂ Overhead Camshaft,Auto,Pale White,42000.00,Hatchback,Middletown,New York 
1/6/2022,Male,13500.00,Saab-Belle Dodge,Nissan,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,21000.00,Hatchback,Aurora,Colorado
1/6/2022,Female,13500.00,Chrysler Plymouth,Volvo,C70,DoubleÂ Overhead Camshaft,Auto,Black,49000.00,Hatchback,Janesville,Wisconsin
1/6/2022,Male,1362000.00,Chrysler of Tri-Cities,Chevrolet,Prizm,Overhead Camshaft,Manual,Pale White,21200.00,Hardtop,Pasco,Washington
1/6/2022,Male,480000.00,Motor Vehicle Branch Office,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,71000.00,SUV,Middletown,New York 
1/6/2022,Female,365000.00,Nebo Chevrolet,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,17000.00,Sedan,Aurora,Colorado
1/9/2022,Female,481000.00,Saab-Belle Dodge,Subaru,Outback,DoubleÂ Overhead Camshaft,Auto,Pale White,57001.00,SUV,Aurora,Colorado
1/9/2022,Male,700000.00,Scrivener Performance Engineering,Buick,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Pale White,62001.00,Hatchback,Greenville,South Carolina
1/9/2022,Male,1350000.00,Star Enterprises Inc,Ford,Taurus,Overhead Camshaft,Manual,Black,69001.00,SUV,Pasco,Washington
1/9/2022,Male,750000.00,Suburban Ford,Chevrolet,Cavalier,Overhead Camshaft,Manual,Pale White,20001.00,SUV,Janesville,Wisconsin
1/9/2022,Male,451000.00,McKinney Dodge Chrysler Jeep,Audi,A4,DoubleÂ Overhead Camshaft,Auto,Black,27000.00,Hardtop,Austin,Texas
1/9/2022,Female,650000.00,U-Haul CO,Ford,Focus,Overhead Camshaft,Manual,Black,49000.00,Hardtop,Janesville,Wisconsin
1/9/2022,Male,700000.00,Motor Vehicle Branch Office,Mitsubishi,Diamante,Overhead Camshaft,Manual,Black,49000.00,Hatchback,Austin,Texas
1/9/2022,Female,13500.00,Nebo Chevrolet,Lexus,GS400,DoubleÂ Overhead Camshaft,Auto,Black,12000.00,Hatchback,Middletown,New York 
1/9/2022,Female,1220000.00,Scrivener Performance Engineering,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,25000.00,Hatchback,Greenville,South Carolina
1/9/2022,Male,1300000.00,Star Enterprises Inc,Chrysler,Concorde,DoubleÂ Overhead Camshaft,Auto,Pale White,42000.00,Hatchback,Pasco,Washington
1/9/2022,Male,470000.00,Suburban Ford,Chrysler,Sebring Coupe,DoubleÂ Overhead Camshaft,Auto,Pale White,19000.00,Sedan,Janesville,Wisconsin
1/9/2022,Female,1167500.00,Tri-State Mack Inc,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Pale White,26750.00,Hatchback,Scottsdale,Arizona
1/9/2022,Male,3000000.00,Clay Johnson Auto Sales,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,31000.00,Passenger,Austin,Texas
1/9/2022,Male,1900000.00,Diehl Motor CO Inc,Saturn,LW,Overhead Camshaft,Manual,Pale White,49000.00,Hatchback,Middletown,New York 
1/9/2022,Female,1690000.00,Enterprise Rent A Car,Hyundai,Sonata,Overhead Camshaft,Manual,Black,15000.00,SUV,Aurora,Colorado
1/9/2022,Male,2800000.00,Gartner Buick Hyundai Saab,Mercury,Sable,DoubleÂ Overhead Camshaft,Auto,Pale White,26000.00,Sedan,Greenville,South Carolina
1/9/2022,Male,642000.00,Suburban Ford,Mercedes-B,SL-Class,Overhead Camshaft,Manual,Pale White,17000.00,Hardtop,Greenville,South Carolina
1/9/2022,Female,705000.00,Pars Auto Sales,Volvo,C70,Overhead Camshaft,Manual,Pale White,24000.00,Hatchback,Pasco,Washington
1/9/2022,Male,670000.00,Pitre Buick-Pontiac-Gmc of Scottsdale,Chevrolet,Metro,DoubleÂ Overhead Camshaft,Auto,Pale White,19000.00,Passenger,Janesville,Wisconsin
1/9/2022,Male,13500.00,Progressive Shippers Cooperative Association No,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,20000.00,Passenger,Scottsdale,Arizona
1/10/2022,Female,1985000.00,Tri-State Mack Inc,Acura,TL,DoubleÂ Overhead Camshaft,Auto,Black,28501.00,Hatchback,Scottsdale,Arizona
1/10/2022,Male,1275000.00,New Castle Ford Lincoln Mercury,BMW,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,15500.00,Hatchback,Aurora,Colorado
1/10/2022,Male,13500.00,U-Haul CO,Plymouth,Voyager,Overhead Camshaft,Manual,Pale White,20000.00,Passenger,Austin,Texas
1/10/2022,Male,1650000.00,Hatfield Volkswagen,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,29000.00,Sedan,Pasco,Washington
1/10/2022,Male,520500.00,Rabun Used Car Sales,Chrysler,Cirrus,DoubleÂ Overhead Camshaft,Auto,Pale White,12500.00,Passenger,Austin,Texas
1/12/2022,Female,500000.00,U-Haul CO,Mercury,Grand Marquis,Overhead Camshaft,Manual,Pale White,16001.00,SUV,Austin,Texas
1/12/2022,Male,1172500.00,Buddy Storbeck's Diesel Service Inc,Lexus,ES300,DoubleÂ Overhead Camshaft,Auto,Pale White,27250.00,SUV,Middletown,New York 
1/12/2022,Male,441000.00,C & M Motors Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11000.00,Sedan,Aurora,Colorado
1/12/2022,Male,1310000.00,Capitol KIA,Nissan,Maxima,Overhead Camshaft,Manual,Pale White,22001.00,Sedan,Greenville,South Carolina
1/12/2022,Male,13500.00,Chrysler of Tri-Cities,Dodge,Avenger,DoubleÂ Overhead Camshaft,Auto,Pale White,22000.00,Passenger,Pasco,Washington
1/12/2022,Male,1200000.00,Chrysler Plymouth,Chevrolet,Corvette,Overhead Camshaft,Manual,Pale White,22000.00,SUV,Janesville,Wisconsin
1/12/2022,Male,1680000.00,Pars Auto Sales,Acura,RL,Overhead Camshaft,Manual,Black,18000.00,SUV,Greenville,South Carolina
1/12/2022,Male,1340000.00,Pitre Buick-Pontiac-Gmc of Scottsdale,Honda,Odyssey,Overhead Camshaft,Manual,Pale White,27000.00,Passenger,Pasco,Washington
1/12/2022,Female,901000.00,Progressive Shippers Cooperative Association No,Oldsmobile,Intrigue,Overhead Camshaft,Manual,Pale White,25000.00,SUV,Janesville,Wisconsin
1/12/2022,Female,849500.00,Rabun Used Car Sales,Acura,RL,Overhead Camshaft,Manual,Pale White,26500.00,SUV,Scottsdale,Arizona
1/12/2022,Male,13500.00,Race Car Help,Ford,Taurus,Overhead Camshaft,Manual,Black,69000.00,SUV,Austin,Texas
1/12/2022,Female,1071500.00,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,Overhead Camshaft,Manual,Pale White,14150.00,Sedan,Middletown,New York 
1/12/2022,Male,1740000.00,Progressive Shippers Cooperative Association No,Saab,5-Sep,Overhead Camshaft,Manual,Pale White,28000.00,Hatchback,Janesville,Wisconsin
1/12/2022,Male,13500.00,Rabun Used Car Sales,Honda,Civic,Overhead Camshaft,Manual,Black,43000.00,Hatchback,Scottsdale,Arizona
1/12/2022,Male,1700000.00,Race Car Help,BMW,528i,Overhead Camshaft,Manual,Pale White,25000.00,SUV,Austin,Texas
1/12/2022,Male,1100000.00,Ryder Truck Rental and Leasing,Oldsmobile,Silhouette,DoubleÂ Overhead Camshaft,Auto,Pale White,12000.00,Sedan,Middletown,New York 
1/12/2022,Male,13500.00,Saab-Belle Dodge,Lexus,LS400,DoubleÂ Overhead Camshaft,Auto,Black,39000.00,Sedan,Aurora,Colorado
1/12/2022,Male,2155000.00,Scrivener Performance Engineering,Cadillac,Eldorado,DoubleÂ Overhead Camshaft,Auto,Black,60500.00,Passenger,Greenville,South Carolina
1/12/2022,Male,13500.00,Iceberg Rentals,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,16000.00,Passenger,Janesville,Wisconsin
1/12/2022,Male,13500.00,McKinney Dodge Chrysler Jeep,Pontiac,Bonneville,DoubleÂ Overhead Camshaft,Auto,Pale White,19000.00,Hatchback,Scottsdale,Arizona
1/12/2022,Male,661000.00,Motor Vehicle Branch Office,Chevrolet,Monte Carlo,Overhead Camshaft,Manual,Black,44000.00,Hatchback,Austin,Texas
1/12/2022,Female,13500.00,Nebo Chevrolet,Oldsmobile,Aurora,Overhead Camshaft,Manual,Pale White,71000.00,Passenger,Middletown,New York 
1/12/2022,Male,13500.00,New Castle Ford Lincoln Mercury,Ford,Mustang,Overhead Camshaft,Manual,Pale White,25000.00,Hatchback,Aurora,Colorado
1/12/2022,Male,2750000.00,Pars Auto Sales,Mitsubishi,Diamante,DoubleÂ Overhead Camshaft,Auto,Black,18000.00,Hatchback,Greenville,South Carolina
1/12/2022,Male,13500.00,Race Car Help,Ford,Expedition,Overhead Camshaft,Manual,Pale White,22000.00,SUV,Middletown,New York 
1/12/2022,Male,13500.00,Diehl Motor CO Inc,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,41000.00,Hardtop,Middletown,New York 
1/12/2022,Female,13500.00,Gartner Buick Hyundai Saab,Ford,Focus,Overhead Camshaft,Manual,Black,49000.00,Hardtop,Greenville,South Carolina
1/12/2022,Male,950000.00,Scrivener Performance Engineering,Volkswagen,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,19000.00,Passenger,Pasco,Washington
1/12/2022,Female,715000.00,Star Enterprises Inc,BMW,528i,Overhead Camshaft,Manual,Black,21000.00,SUV,Janesville,Wisconsin
1/12/2022,Female,13500.00,Rabun Used Car Sales,Subaru,Forester,DoubleÂ Overhead Camshaft,Auto,Black,22000.00,Hardtop,Scottsdale,Arizona
1/13/2022,Female,847000.00,Classic Chevy,Plymouth,Breeze,Overhead Camshaft,Manual,Pale White,16000.00,SUV,Scottsdale,Arizona
1/13/2022,Female,13500.00,Clay Johnson Auto Sales,Volkswagen,Beetle,DoubleÂ Overhead Camshaft,Auto,Pale White,45000.00,SUV,Austin,Texas
1/13/2022,Male,1176500.00,Diehl Motor CO Inc,Dodge,Intrepid,Overhead Camshaft,Manual,Black,11650.00,Sedan,Middletown,New York 
1/13/2022,Male,955000.00,Enterprise Rent A Car,Hyundai,Elantra,Overhead Camshaft,Manual,Pale White,26000.00,Sedan,Aurora,Colorado
1/13/2022,Male,800000.00,Saab-Belle Dodge,Saturn,SW,Overhead Camshaft,Manual,Black,36000.00,Passenger,Aurora,Colorado
1/13/2022,Male,13500.00,Scrivener Performance Engineering,Lincoln,Continental,Overhead Camshaft,Manual,Pale White,82000.00,Passenger,Greenville,South Carolina
1/13/2022,Female,13500.00,Star Enterprises Inc,Chevrolet,Camaro,DoubleÂ Overhead Camshaft,Auto,Pale White,24000.00,Sedan,Pasco,Washington
